Код	Дата	ОД, %	Возраст	Проживание	Срок проживания в регионе	Семейное положение	Образование	Стаж работы на последнем месте	Уровень должности	Кредитная история	Просрочки свыше 60 дн.	Тестовое множество
569	27.03.2007	38	43	Собственник	от 1 до 5 лет	Женат/замужем	высшее	менее 1 года	руководитель среднего звена	нет данных	0	False
570	27.03.2007	35	35	Собственник	от 1 до 5 лет	Холост/Не замужем	высшее	менее 1 года	руководитель среднего звена	нет данных	0	False
571	27.03.2007	12	29	Собственник	свыше 5 лет	Холост/Не замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
572	27.03.2007	26	24	Собственник	менее 1 года	Другое	среднее	менее 1 года	сотрудник	нет данных	1	True
573	27.03.2007	31	44	Собственник	свыше 5 лет	Разведен(а)/Вдовство	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
574	27.03.2007	12	31	Аренда	менее 1 года	Другое	высшее	свыше 3 лет	сотрудник	нет данных	0	False
575	27.03.2007	26	44	Собственник	менее 1 года	Разведен(а)/Вдовство	среднее специальное	менее 1 года	сотрудник	положительная	0	False
576	27.03.2007	14	23	Муниципальное жилье	менее 1 года	Холост/Не замужем	среднее	менее 1 года	сотрудник	положительная	0	False
577	27.03.2007	29	36	Собственник	свыше 5 лет	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
578	27.03.2007	25	23	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее	менее 1 года	руководитель высшего звена	положительная	0	True
579	27.03.2007	42	35	Муниципальное жилье	менее 1 года	Другое	среднее специальное	менее 1 года	сотрудник	нет данных	1	False
580	27.03.2007	40	30	Собственник	от 1 до 5 лет	Другое	среднее специальное	свыше 3 лет	сотрудник	положительная	0	True
581	27.03.2007	35	54	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	положительная	0	False
582	27.03.2007	35	43	Собственник	менее 1 года	Другое	среднее специальное	менее 1 года	сотрудник	нет данных	1	False
583	27.03.2007	48	36	Собственник	свыше 5 лет	Женат/замужем	среднее	свыше 3 лет	сотрудник	нет данных	0	False
584	27.03.2007	55	37	Аренда	от 1 до 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
585	27.03.2007	46	34	Аренда	от 1 до 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
586	27.03.2007	48	53	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	свыше 3 лет	руководитель среднего звена	нет данных	0	False
587	27.03.2007	35	34	Муниципальное жилье	от 1 до 5 лет	Другое	высшее	от 1 года до 3 лет	сотрудник	положительная	0	False
588	27.03.2007	34	26	Собственник	от 1 до 5 лет	Разведен(а)/Вдовство	среднее специальное	свыше 3 лет	сотрудник	положительная	0	False
589	27.03.2007	52	28	Собственник	свыше 5 лет	Другое	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	True
590	27.03.2007	37	25	Аренда	менее 1 года	Другое	высшее	менее 1 года	руководитель среднего звена	отрицательная	0	False
591	27.03.2007	41	35	Собственник	свыше 5 лет	Женат/замужем	среднее	свыше 3 лет	сотрудник	нет данных	0	False
592	27.03.2007	11	31	Собственник	свыше 5 лет	Другое	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	False
593	27.03.2007	29	43	Собственник	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	False
594	27.03.2007	48	34	Собственник	от 1 до 5 лет	Холост/Не замужем	высшее	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	False
595	27.03.2007	55	26	Муниципальное жилье	свыше 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
596	27.03.2007	39	22	Собственник	свыше 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	положительная	0	True
597	28.03.2007	18	37	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	менее 1 года	руководитель высшего звена	нет данных	0	False
598	28.03.2007	27	33	Муниципальное жилье	менее 1 года	Холост/Не замужем	среднее специальное	свыше 3 лет	сотрудник	нет данных	0	False
599	28.03.2007	43	35	Собственник	менее 1 года	Холост/Не замужем	высшее	свыше 3 лет	сотрудник	положительная	0	False
600	28.03.2007	35	26	Собственник	от 1 до 5 лет	Холост/Не замужем	высшее	менее 1 года	руководитель среднего звена	нет данных	0	False
601	28.03.2007	33	41	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	False
602	28.03.2007	12	31	Аренда	свыше 5 лет	Женат/замужем	среднее	свыше 3 лет	сотрудник	нет данных	0	False
603	28.03.2007	19	26	Муниципальное жилье	менее 1 года	Холост/Не замужем	среднее	менее 1 года	сотрудник	нет данных	0	True
604	28.03.2007	36	36	Муниципальное жилье	от 1 до 5 лет	Холост/Не замужем	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	False
605	28.03.2007	23	33	Муниципальное жилье	от 1 до 5 лет	Холост/Не замужем	среднее	от 1 года до 3 лет	сотрудник	нет данных	0	False
606	28.03.2007	38	33	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
607	28.03.2007	47	25	Аренда	менее 1 года	Холост/Не замужем	высшее	менее 1 года	сотрудник	нет данных	0	True
608	28.03.2007	40	58	Собственник	свыше 5 лет	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	положительная	0	False
609	28.03.2007	46	45	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	руководитель среднего звена	положительная	0	False
610	28.03.2007	51	36	Аренда	менее 1 года	Другое	среднее специальное	менее 1 года	сотрудник	отрицательная	0	False
611	28.03.2007	26	30	Собственник	менее 1 года	Другое	высшее	менее 1 года	сотрудник	нет данных	0	False
612	28.03.2007	30	39	Собственник	свыше 5 лет	Женат/замужем	среднее	от 1 года до 3 лет	сотрудник	нет данных	0	False
613	28.03.2007	30	35	Аренда	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	положительная	0	False
614	28.03.2007	26	38	Собственник	свыше 5 лет	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	True
615	28.03.2007	52	32	Аренда	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	положительная	0	True
616	28.03.2007	27	42	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
617	28.03.2007	14	39	Собственник	от 1 до 5 лет	Холост/Не замужем	высшее	свыше 3 лет	руководитель среднего звена	отрицательная	0	False
618	28.03.2007	25	57	Собственник	от 1 до 5 лет	Женат/замужем	среднее	менее 1 года	руководитель среднего звена	нет данных	0	False
619	28.03.2007	19	31	Собственник	от 1 до 5 лет	Холост/Не замужем	высшее	свыше 3 лет	сотрудник	нет данных	0	True
620	28.03.2007	19	37	Собственник	свыше 5 лет	Холост/Не замужем	среднее	от 1 года до 3 лет	руководитель среднего звена	положительная	0	True
621	28.03.2007	35	34	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	руководитель среднего звена	отрицательная	0	False
622	28.03.2007	16	33	Аренда	свыше 5 лет	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	True
623	28.03.2007	26	27	Собственник	менее 1 года	Женат/замужем	среднее специальное	свыше 3 лет	сотрудник	нет данных	0	False
624	28.03.2007	18	54	Собственник	свыше 5 лет	Женат/замужем	высшее	менее 1 года	руководитель среднего звена	положительная	0	False
625	28.03.2007	46	44	Собственник	свыше 5 лет	Холост/Не замужем	среднее специальное	свыше 3 лет	сотрудник	положительная	0	False
626	28.03.2007	13	33	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	положительная	0	False
627	28.03.2007	22	37	Собственник	менее 1 года	Разведен(а)/Вдовство	высшее	менее 1 года	сотрудник	нет данных	0	False
628	28.03.2007	40	25	Собственник	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	1	False
629	28.03.2007	12	31	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
630	28.03.2007	54	36	Собственник	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
631	28.03.2007	25	40	Муниципальное жилье	от 1 до 5 лет	Женат/замужем	высшее	менее 1 года	сотрудник	положительная	0	False
632	28.03.2007	21	22	Аренда	свыше 5 лет	Женат/замужем	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	True
633	28.03.2007	37	43	Собственник	менее 1 года	Разведен(а)/Вдовство	среднее специальное	свыше 3 лет	руководитель среднего звена	нет данных	0	False
634	28.03.2007	43	25	Собственник	менее 1 года	Другое	высшее	менее 1 года	руководитель среднего звена	нет данных	1	False
635	28.03.2007	21	25	Собственник	от 1 до 5 лет	Холост/Не замужем	высшее	менее 1 года	сотрудник	положительная	0	False
636	28.03.2007	45	25	Аренда	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	руководитель среднего звена	положительная	0	False
637	28.03.2007	32	25	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
638	28.03.2007	21	41	Собственник	свыше 5 лет	Другое	высшее	свыше 3 лет	сотрудник	нет данных	0	False
639	28.03.2007	15	31	Собственник	от 1 до 5 лет	Разведен(а)/Вдовство	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
640	28.03.2007	42	35	Собственник	менее 1 года	Женат/замужем	среднее	свыше 3 лет	сотрудник	нет данных	1	False
641	28.03.2007	16	42	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее специальное	свыше 3 лет	руководитель среднего звена	нет данных	0	False
642	28.03.2007	37	40	Аренда	свыше 5 лет	Другое	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	1	False
643	28.03.2007	29	29	Собственник	менее 1 года	Другое	среднее специальное	менее 1 года	сотрудник	нет данных	1	False
644	29.03.2007	53	38	Аренда	менее 1 года	Холост/Не замужем	высшее	менее 1 года	сотрудник	нет данных	1	False
645	29.03.2007	35	37	Аренда	свыше 5 лет	Разведен(а)/Вдовство	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	положительная	0	False
646	29.03.2007	52	29	Собственник	менее 1 года	Другое	среднее специальное	менее 1 года	сотрудник	отрицательная	1	True
647	29.03.2007	34	25	Собственник	менее 1 года	Женат/замужем	среднее	менее 1 года	сотрудник	положительная	0	False
648	29.03.2007	37	45	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	руководитель высшего звена	отрицательная	1	False
649	29.03.2007	34	41	Собственник	свыше 5 лет	Другое	среднее	менее 1 года	сотрудник	отрицательная	1	False
650	29.03.2007	45	45	Собственник	свыше 5 лет	Холост/Не замужем	высшее	менее 1 года	сотрудник	нет данных	0	True
651	29.03.2007	38	32	Собственник	менее 1 года	Разведен(а)/Вдовство	высшее	менее 1 года	сотрудник	положительная	0	False
652	29.03.2007	36	28	Муниципальное жилье	от 1 до 5 лет	Другое	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	1	False
653	29.03.2007	35	25	Собственник	от 1 до 5 лет	Другое	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
654	29.03.2007	23	35	Аренда	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	нет данных	1	False
655	29.03.2007	26	43	Собственник	свыше 5 лет	Разведен(а)/Вдовство	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	False
656	29.03.2007	34	27	Муниципальное жилье	менее 1 года	Холост/Не замужем	среднее	менее 1 года	руководитель среднего звена	нет данных	1	False
657	29.03.2007	15	32	Аренда	менее 1 года	Женат/замужем	высшее	менее 1 года	руководитель среднего звена	нет данных	0	False
658	29.03.2007	42	27	Собственник	свыше 5 лет	Разведен(а)/Вдовство	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	False
659	29.03.2007	39	28	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	True
660	29.03.2007	28	28	Муниципальное жилье	менее 1 года	Холост/Не замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
661	29.03.2007	36	45	Собственник	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	сотрудник	положительная	0	False
662	29.03.2007	32	28	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	False
663	29.03.2007	23	23	Собственник	свыше 5 лет	Женат/замужем	высшее	свыше 3 лет	руководитель среднего звена	нет данных	0	False
664	30.03.2007	36	58	Собственник	менее 1 года	Разведен(а)/Вдовство	среднее специальное	свыше 3 лет	руководитель среднего звена	положительная	0	False
665	30.03.2007	31	35	Собственник	менее 1 года	Холост/Не замужем	высшее	менее 1 года	руководитель высшего звена	нет данных	0	False
666	30.03.2007	36	46	Собственник	от 1 до 5 лет	Женат/замужем	высшее	менее 1 года	руководитель высшего звена	нет данных	0	False
667	30.03.2007	45	37	Аренда	от 1 до 5 лет	Холост/Не замужем	среднее специальное	менее 1 года	руководитель среднего звена	отрицательная	1	False
668	30.03.2007	14	37	Собственник	менее 1 года	Другое	среднее специальное	свыше 3 лет	руководитель среднего звена	нет данных	0	False
669	30.03.2007	31	32	Аренда	от 1 до 5 лет	Женат/замужем	высшее	свыше 3 лет	сотрудник	положительная	0	False
670	30.03.2007	40	26	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	менее 1 года	руководитель среднего звена	нет данных	0	False
671	30.03.2007	51	45	Собственник	менее 1 года	Разведен(а)/Вдовство	среднее специальное	свыше 3 лет	сотрудник	нет данных	1	False
672	30.03.2007	25	34	Собственник	свыше 5 лет	Холост/Не замужем	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	True
673	30.03.2007	52	26	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	нет данных	1	False
674	30.03.2007	44	50	Собственник	от 1 до 5 лет	Другое	высшее	менее 1 года	сотрудник	нет данных	0	False
675	30.03.2007	23	35	Собственник	менее 1 года	Женат/замужем	среднее специальное	свыше 3 лет	сотрудник	отрицательная	1	False
676	30.03.2007	34	35	Муниципальное жилье	свыше 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
677	30.03.2007	29	40	Муниципальное жилье	от 1 до 5 лет	Холост/Не замужем	среднее	менее 1 года	сотрудник	положительная	0	False
678	30.03.2007	44	36	Собственник	свыше 5 лет	Женат/замужем	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	False
679	30.03.2007	11	25	Собственник	свыше 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	False
680	30.03.2007	20	29	Аренда	от 1 до 5 лет	Женат/замужем	высшее	менее 1 года	руководитель высшего звена	нет данных	0	False
681	30.03.2007	31	25	Собственник	свыше 5 лет	Женат/замужем	высшее	свыше 3 лет	сотрудник	нет данных	0	False
682	30.03.2007	49	46	Собственник	менее 1 года	Другое	среднее специальное	свыше 3 лет	сотрудник	нет данных	0	False
683	30.03.2007	30	31	Собственник	от 1 до 5 лет	Другое	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
684	30.03.2007	36	45	Собственник	менее 1 года	Холост/Не замужем	высшее	менее 1 года	руководитель среднего звена	положительная	0	True
685	30.03.2007	37	44	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	нет данных	1	False
686	30.03.2007	28	43	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	отрицательная	1	True
687	30.03.2007	14	45	Муниципальное жилье	от 1 до 5 лет	Холост/Не замужем	высшее	менее 1 года	сотрудник	отрицательная	1	False
688	30.03.2007	55	50	Собственник	менее 1 года	Другое	высшее	менее 1 года	сотрудник	отрицательная	1	False
689	30.03.2007	55	43	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее	менее 1 года	сотрудник	нет данных	1	True
690	30.03.2007	40	24	Аренда	менее 1 года	Женат/замужем	среднее	менее 1 года	руководитель высшего звена	нет данных	1	False
691	30.03.2007	55	31	Аренда	от 1 до 5 лет	Другое	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	1	False
692	30.03.2007	40	23	Аренда	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	нет данных	1	False
693	30.03.2007	48	42	Собственник	от 1 до 5 лет	Разведен(а)/Вдовство	высшее	от 1 года до 3 лет	сотрудник	положительная	1	False
694	30.03.2007	23	33	Аренда	от 1 до 5 лет	Другое	высшее	свыше 3 лет	руководитель среднего звена	нет данных	1	False
695	30.03.2007	15	40	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	свыше 3 лет	сотрудник	положительная	1	False
696	30.03.2007	45	57	Собственник	свыше 5 лет	Разведен(а)/Вдовство	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	нет данных	1	False
697	30.03.2007	19	42	Собственник	менее 1 года	Женат/замужем	среднее	менее 1 года	руководитель среднего звена	нет данных	1	True
698	31.03.2007	31	32	Муниципальное жилье	менее 1 года	Другое	высшее	менее 1 года	сотрудник	положительная	0	False
699	31.03.2007	22	45	Собственник	свыше 5 лет	Женат/замужем	среднее	менее 1 года	сотрудник	нет данных	0	False
700	31.03.2007	25	42	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
701	31.03.2007	18	48	Муниципальное жилье	от 1 до 5 лет	Разведен(а)/Вдовство	высшее	свыше 3 лет	сотрудник	положительная	0	True
702	31.03.2007	46	28	Муниципальное жилье	свыше 5 лет	Разведен(а)/Вдовство	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	1	True
703	31.03.2007	14	30	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	сотрудник	положительная	0	True
704	31.03.2007	34	32	Собственник	от 1 до 5 лет	Женат/замужем	высшее	менее 1 года	руководитель среднего звена	нет данных	0	True
705	31.03.2007	21	40	Собственник	менее 1 года	Холост/Не замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
706	31.03.2007	21	43	Собственник	свыше 5 лет	Другое	высшее	менее 1 года	сотрудник	нет данных	0	False
707	31.03.2007	38	35	Собственник	свыше 5 лет	Разведен(а)/Вдовство	высшее	свыше 3 лет	руководитель среднего звена	положительная	0	False
708	31.03.2007	23	35	Муниципальное жилье	свыше 5 лет	Холост/Не замужем	среднее	менее 1 года	сотрудник	нет данных	0	False
709	31.03.2007	26	42	Собственник	менее 1 года	Женат/замужем	среднее специальное	свыше 3 лет	руководитель среднего звена	нет данных	0	False
710	31.03.2007	48	28	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	руководитель высшего звена	положительная	0	False
711	31.03.2007	31	30	Собственник	от 1 до 5 лет	Другое	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	0	False
712	31.03.2007	48	41	Собственник	менее 1 года	Разведен(а)/Вдовство	среднее специальное	менее 1 года	сотрудник	положительная	0	True
713	01.04.2007	16	26	Собственник	от 1 до 5 лет	Холост/Не замужем	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	True
714	02.04.2007	41	31	Собственник	свыше 5 лет	Другое	высшее	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	True
715	02.04.2007	41	39	Муниципальное жилье	от 1 до 5 лет	Женат/замужем	среднее	от 1 года до 3 лет	сотрудник	нет данных	0	False
716	02.04.2007	45	31	Аренда	свыше 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	сотрудник	нет данных	1	True
717	02.04.2007	37	31	Собственник	свыше 5 лет	Разведен(а)/Вдовство	среднее специальное	менее 1 года	сотрудник	нет данных	1	False
718	02.04.2007	43	25	Муниципальное жилье	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	нет данных	1	True
719	02.04.2007	35	33	Собственник	свыше 5 лет	Холост/Не замужем	среднее	от 1 года до 3 лет	сотрудник	отрицательная	1	False
720	02.04.2007	11	28	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	отрицательная	0	False
721	02.04.2007	54	39	Муниципальное жилье	от 1 до 5 лет	Женат/замужем	среднее	от 1 года до 3 лет	руководитель высшего звена	нет данных	0	False
722	02.04.2007	46	43	Собственник	менее 1 года	Другое	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	1	False
723	02.04.2007	28	25	Муниципальное жилье	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
724	02.04.2007	11	40	Муниципальное жилье	свыше 5 лет	Холост/Не замужем	среднее	свыше 3 лет	руководитель среднего звена	нет данных	0	True
725	02.04.2007	32	38	Собственник	свыше 5 лет	Холост/Не замужем	высшее	менее 1 года	сотрудник	положительная	0	False
726	02.04.2007	19	29	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
727	02.04.2007	11	45	Аренда	свыше 5 лет	Другое	среднее специальное	менее 1 года	сотрудник	положительная	0	False
728	02.04.2007	49	29	Аренда	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	отрицательная	1	True
729	02.04.2007	39	40	Собственник	от 1 до 5 лет	Холост/Не замужем	высшее	свыше 3 лет	руководитель среднего звена	нет данных	0	False
730	02.04.2007	26	37	Собственник	от 1 до 5 лет	Женат/замужем	среднее	свыше 3 лет	сотрудник	положительная	0	True
731	02.04.2007	39	33	Муниципальное жилье	свыше 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	руководитель среднего звена	положительная	0	False
732	02.04.2007	11	43	Собственник	от 1 до 5 лет	Женат/замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
733	02.04.2007	44	38	Собственник	от 1 до 5 лет	Женат/замужем	высшее	менее 1 года	сотрудник	нет данных	0	True
734	02.04.2007	35	57	Муниципальное жилье	от 1 до 5 лет	Женат/замужем	среднее специальное	свыше 3 лет	сотрудник	нет данных	0	False
735	02.04.2007	55	32	Собственник	свыше 5 лет	Женат/замужем	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	False
736	02.04.2007	40	36	Собственник	от 1 до 5 лет	Женат/замужем	среднее	от 1 года до 3 лет	сотрудник	нет данных	0	False
737	02.04.2007	55	26	Аренда	свыше 5 лет	Женат/замужем	среднее	свыше 3 лет	руководитель высшего звена	положительная	0	False
738	02.04.2007	15	43	Собственник	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
739	02.04.2007	23	36	Муниципальное жилье	от 1 до 5 лет	Другое	среднее специальное	свыше 3 лет	руководитель среднего звена	нет данных	0	False
740	02.04.2007	47	35	Аренда	от 1 до 5 лет	Женат/замужем	среднее	свыше 3 лет	сотрудник	нет данных	1	True
741	03.04.2007	19	24	Муниципальное жилье	менее 1 года	Холост/Не замужем	высшее	менее 1 года	руководитель среднего звена	нет данных	0	False
742	03.04.2007	33	28	Аренда	от 1 до 5 лет	Холост/Не замужем	высшее	менее 1 года	сотрудник	положительная	0	False
743	03.04.2007	11	34	Собственник	менее 1 года	Другое	среднее специальное	менее 1 года	руководитель среднего звена	положительная	0	False
744	03.04.2007	37	42	Собственник	менее 1 года	Женат/замужем	среднее	менее 1 года	сотрудник	положительная	0	False
745	03.04.2007	46	30	Собственник	менее 1 года	Другое	среднее	менее 1 года	сотрудник	нет данных	1	False
746	03.04.2007	16	58	Собственник	от 1 до 5 лет	Женат/замужем	высшее	менее 1 года	сотрудник	нет данных	0	False
747	03.04.2007	20	44	Собственник	свыше 5 лет	Холост/Не замужем	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	False
748	03.04.2007	14	57	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее специальное	свыше 3 лет	руководитель среднего звена	отрицательная	0	True
749	03.04.2007	24	31	Собственник	от 1 до 5 лет	Холост/Не замужем	высшее	свыше 3 лет	руководитель среднего звена	нет данных	0	False
750	03.04.2007	14	47	Аренда	свыше 5 лет	Женат/замужем	высшее	менее 1 года	руководитель высшего звена	положительная	0	False
751	03.04.2007	17	29	Собственник	свыше 5 лет	Другое	высшее	от 1 года до 3 лет	руководитель среднего звена	положительная	0	False
752	03.04.2007	41	47	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	0	True
753	03.04.2007	25	37	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее специальное	менее 1 года	сотрудник	положительная	0	True
754	03.04.2007	51	38	Муниципальное жилье	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	положительная	0	False
755	03.04.2007	12	37	Собственник	менее 1 года	Женат/замужем	высшее	свыше 3 лет	руководитель среднего звена	нет данных	0	False
756	03.04.2007	25	38	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	сотрудник	положительная	0	True
757	03.04.2007	43	40	Собственник	свыше 5 лет	Женат/замужем	высшее	от 1 года до 3 лет	сотрудник	нет данных	0	False
758	03.04.2007	11	39	Собственник	менее 1 года	Холост/Не замужем	среднее специальное	менее 1 года	руководитель высшего звена	положительная	0	False
759	03.04.2007	42	42	Собственник	менее 1 года	Женат/замужем	среднее специальное	менее 1 года	руководитель среднего звена	положительная	0	True
760	03.04.2007	36	40	Собственник	менее 1 года	Другое	среднее	менее 1 года	сотрудник	нет данных	1	False
761	03.04.2007	35	29	Собственник	менее 1 года	Другое	высшее	менее 1 года	сотрудник	положительная	0	False
762	03.04.2007	54	27	Собственник	от 1 до 5 лет	Женат/замужем	высшее	менее 1 года	руководитель среднего звена	отрицательная	1	False
763	03.04.2007	28	25	Муниципальное жилье	от 1 до 5 лет	Другое	среднее специальное	свыше 3 лет	сотрудник	нет данных	0	False
764	03.04.2007	17	37	Собственник	от 1 до 5 лет	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	True
765	03.04.2007	18	22	Собственник	от 1 до 5 лет	Холост/Не замужем	среднее специальное	от 1 года до 3 лет	сотрудник	отрицательная	0	False
766	03.04.2007	51	44	Собственник	менее 1 года	Женат/замужем	среднее специальное	свыше 3 лет	сотрудник	положительная	0	False
767	03.04.2007	37	30	Собственник	от 1 до 5 лет	Женат/замужем	среднее	свыше 3 лет	руководитель среднего звена	нет данных	0	True
768	03.04.2007	20	40	Аренда	от 1 до 5 лет	Женат/замужем	высшее	от 1 года до 3 лет	сотрудник	положительная	0	False
769	03.04.2007	15	32	Муниципальное жилье	менее 1 года	Холост/Не замужем	среднее	свыше 3 лет	сотрудник	нет данных	0	False
770	03.04.2007	23	37	Собственник	от 1 до 5 лет	Женат/замужем	среднее	свыше 3 лет	сотрудник	положительная	0	False
771	03.04.2007	19	30	Собственник	менее 1 года	Женат/замужем	высшее	менее 1 года	руководитель среднего звена	отрицательная	0	False
772	03.04.2007	34	28	Собственник	менее 1 года	Другое	среднее специальное	менее 1 года	руководитель высшего звена	положительная	0	True
773	03.04.2007	54	36	Собственник	менее 1 года	Другое	среднее специальное	менее 1 года	руководитель среднего звена	нет данных	1	False
774	03.04.2007	44	22	Аренда	менее 1 года	Другое	среднее	менее 1 года	сотрудник	нет данных	1	False
775	03.04.2007	48	57	Собственник	свыше 5 лет	Женат/замужем	среднее	от 1 года до 3 лет	сотрудник	нет данных	0	False
776	03.04.2007	13	38	Собственник	свыше 5 лет	Женат/замужем	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
777	03.04.2007	55	34	Муниципальное жилье	от 1 до 5 лет	Женат/замужем	высшее	от 1 года до 3 лет	руководитель среднего звена	нет данных	0	False
778	03.04.2007	16	36	Собственник	менее 1 года	Другое	среднее специальное	менее 1 года	сотрудник	нет данных	0	False
