Товар.Код	Товар.Наименование	Товарная группа
24698	Деготь березовый субст.жидк. фл. 20 г пач.картон. 1 РЕТИНОИДЫ	242
24909	Декарис табл. 50 мг уп.контурн.яч. 2 кор. 1 Gedeon Richter	33
24910	Декарис табл. 150 мг уп.контурн.яч. 1 кор. 1 Gedeon Richter	33
25191	Деринат р-р наружн. 0,25 % фл.-кап.темн.стекл. 10 мл кор. 1 Техномедсервис	33
25192	Деринат р-р наружн. 0,25 % фл. 10 мл кор. 1 Техномедсервис	33
25294	Деситин мазь 40 % туба 57 г кор. Pfizer	242
25445	Джунгли с минералами табл.жев. фл. 60 кор. 1 Sagmel, Inc.	198
25893	Диане-35 драже бл. 21 кор. 1 Schering SpA дочернее предприятие Schering AG	178
26013	Дибазол р-р д/ин. 1 % амп. 5 мл [с нож.амп.] пач.картон. 10 Верофарм (Воронежский филиал)	243
26014	Дибазол р-р д/ин. 1 % амп. 1 мл [с нож.амп.] пач.картон. 10 Верофарм (Воронежский филиал)	243
26043	Дибазола раствор для инъекций р-р д/ин. 1 % амп. 2 мл [с нож.амп.] пач.картон. 10 Ай Си Эн Полифарм	243
26044	Дибазола раствор для инъекций р-р д/ин. 1 % амп. 1 мл [с нож.амп.] пач.картон. 10 Ай Си Эн Октябрь	243
26064	Дибазола раствор для инъекций р-р д/ин. 0,5 % амп. 2 мл [с нож.амп.] пач.картон. 10 Биосинтез	243
26114	Дибазола таблетки 0,02 г табл. 0,02 г уп.контурн.б/яч. 10 Фармакон	243
26115	Дибазола таблетки 0,02 г табл. 20 мг уп.контурн.б/яч. 10 Медисорб	243
26120	Дибазола таблетки 0,02 г табл. 0,02 г уп.контурн.б/яч. 10 Уралбиофарм	243
26925	Дипросалик лосьон фл.пластик. 30 мл [с капельн.] пач.картон. 1 Schering-Plough Labo N.V.	242
26926	Дипросалик мазь туба 30 г кор. 1 Schering-Plough (Brinny) Company	242
27041	Дитек аэроз.ингал.доз. 200 доз бал.аэроз. 10 мл [с мундшт.] кор. 1 Boehringer Ingelheim Pharma KG	184
27289	Длянос спрей наз. 0,1 % фл.с пульв. 10 мл кор. 1 Novartis Enterprises Private Ltd.	234
27290	Длянос капли наз.детск. 0,05 % фл.-кап.темн.стекл. 10 мл [с крышк.-капельн.] пач.картон. 1 Novartis	234
27458	Доктор МОМ мазь бан. 20 г кор. 1 Unique	211
27459	Доктор МОМ сироп фл.темн.стекл. 100 мл кор. 1 Unique	211
27482	Доктор Тайсс Мультивитамол р-р для приема внутрь фл.стекл. 200 мл кор. 1 Dr. Theiss Naturwaren	198
27487	Доктор Тайсс ревма крем крем туба 30 г Dr. Theiss Naturwaren	211
27490	Доктор Тайсс сироп с подорожником от кашля сироп фл. 100 мл кор. 1 Dr. Theiss Naturwaren	247
27492	Доктор Тайсс Шведская горечь р-р фл.темн.стекл. 100 мл кор. 1 Dr. Theiss Naturwaren	211
27494	Доктор Тайсс экстракт шалфея c витамином C табл.д/рассас. бл. 12 кор. 2 Dr. Theiss Naturwaren	247
27495	Доктор Тайсс экстракт шалфея c витамином C табл.д/рассас. бл. 12 кор. 1 Dr. Theiss Naturwaren	247
27497	Доктор Тайсс экстракт эхинацеи табл.д/рассас. бл. 12 кор. 2 Dr. Theiss Naturwaren	247
27498	Доктор Тайсс экстракт эхинацеи табл.д/рассас. бл. 12 кор. 1 Dr. Theiss Naturwaren	247
27520	Долобене гель наружн. туба 50 г кор. 1 Merckle	172
27649	Доппельгерц Женьшень Актив эликсир фл.темн.стекл. 250 мл кор. 1 Queisser Pharma	48
27651	Доппельгерц Мелисса капли для приема внутрь и д/наружн.прим. фл.-кап. 100 мл кор. 1 Queisser Pharma	130
27656	Доппельгерц Энерготоник эликсир фл. 250 мл кор. 1 Queisser Pharma	198
27745	Дроверина раствор для инъекций 2% р-р д/ин. 2 % амп.в уп.контурн.яч. 2 мл 5 [с нож.амп.] пач.картон.	243
27931	Дротаверин-Н.С. р-р д/ин. 2 % амп.темн.стекл. 2 мл [с нож.амп.] пач.картон. 10 Новосибхимфарм	243
27991	Дуба кора кора фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	247
27993	Дуба кора кора пак.бум. 40 г пач.картон. 1 Красногорсклексредства	247
27994	Дуба кора кора пак.бум. 100 г пач.картон. 1 Красногорсклексредства	247
28022	Дуба кора кора пак.бум. 50 г пач.картон. 1 Фитофарм ПКФ	247
28092	Дуовит драже уп.контурн.яч. 10 кор. 4 KRKA	198
28180	Душицы трава трава фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	38
28182	Душицы трава трава фильтр-пак. 1,5 г пач.картон. 10 Красногорсклексредства	38
28302	Дюспаталин капс.ретард 200 мг бл. 10 кор. 3 Solvay Pharmaceuticals	243
28551	Желудочно-кишечный сбор сбор лек. фильтр-пак. 2 г пач.картон. 10 Красногорсклексредства	223
28558	Желудочно-кишечный сбор сбор лек. пак.бум. 50 г пач.картон. 1 Красногорсклексредства	223
28560	Желудочно-кишечный сбор сбор лек. фильтр-пак. 2 г пач.картон. 20 Красногорсклексредства	223
28616	Желудочный сбор N 3 сбор лек. пак.бум. 75 г пач.картон. 1 Красногорсклексредства	223
29486	Зинерит пор.д/р-ра наружн. фл. 1,8 г [с р-лем, фл., с апплик.] кор. 1 Yamanouchi	242
29505	Зиртек капли для приема внутрь 10 мг/мл фл. 10 мл кор. 1 UCB	182
29507	Зиртек табл.п.о.дел. 10 мг бл. 7 кор. 1 UCB	182
29662	Золототысячника трава лек.раст.сырье фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	225
29664	Золототысячника трава лек.раст.сырье фильтр-пак. 1,5 г пач.картон. 10 Красногорсклексредства	225
30958	ИММУНОМИШКИ Кид"с формула пастилки жев. фл. 60 кор. 1 Verron Holding Inc.	198
31048	Ингалипт аэроз. фл. 30 мл СтомаДИС фирма	247
31050	Ингалипт аэроз. бал.аэроз.алюм. 30 мл [с доз.устр.] пач.картон. 1 Алтайвитамины	247
31051	Ингалипт аэроз. бал.аэроз. 15 мл [с доз.устр.] пач.картон. 1 Мосхимфармпрепараты	247
31052	Ингалипт аэроз. бал.аэроз.алюм. 30 мл пач.картон. 1 Ай Си Эн Октябрь	247
31054	Ингалипт спрей фл.с дозат. 20 мл пач.картон. 1 ВИПС-МЕД	247
31164	Индовазин гель туба 45 г пач.картон. 1 Balkanpharma-Troyan AD	211
31636	Инфагель мазь 10000 МЕ/г фл. 2 г пач.картон. 1 Вектор-Фарм	33
31651	Инфлюцид р-р для приема внутрь фл.-кап.темн.стекл. 30 мл кор. 1 DHU	33
31652	Инфлюцид табл.д/рассас. бл. 20 кор. 3 DHU	33
31747	Ирикар крем туба 50 г кор. 1 DHU	242
31787	Ируксол мазь туба 30 г кор. 1 Pliva	242
32055	Йода раствор спиртовой 5% р-р спирт.наружн. 5 % фл. 10 мл ИТМК	108
32091	Йода раствор спиртовой 5% р-р спирт.наружн. 5 % фл. 10 мл пач.картон. 1 Йодные технологии и маркетин	108
32270	Йокс р-р наружн. фл.темн.стекл. 50 мл [с мерн.крыш.] пач.картон. 1 Ivax-CR a.s.	247
32271	Йокс спрей фл.с расп. 30 мл [с апплик.] пач.картон. 1 Galena a.s.	247
32273	Йокс спрей фл.с расп. 30 мл [с апплик.] пач.картон. 1 Ivax-CR a.s.	247
32275	Йокс р-р наружн. фл. 50 мл Galena a.s.	247
32427	Калгель гель зубн. туба 10 г пач.картон. 1 Glaxo Wellcome Operations	50
32435	Календула мазь туба 30 г пач.картон. 1 Московская фармфабрика	247
32436	Календула супп.рект. уп.контурн.яч. 5 пач.картон. 2 Московская фармфабрика	247
32438	Бальзам для губ Календула Доктор Тайсс бальзам наружн. пен. 4,8 г уп.карт. 1 Dr. Theiss Naturwaren	247
32540	Календулы настойка настойка фл. 40 мл Ярославская фармфабрика	247
32542	Календулы настойка настойка фл. 40 мл Фитофарм-НН	247
32543	Календулы настойка настойка фл.темн.стекл. 40 мл пач.картон. 1 Фитофарм-НН	247
32547	Календулы настойка настойка фл.темн.стекл. 40 мл Московская фармфабрика	247
32560	Календулы настойка настойка фл.темн.стекл. 40 мл пач.картон. 1 Тверская фармфабрика	247
32585	Календулы настойка настойка фл.темн.стекл. 40 мл пач.картон. 1 Ростовская фармфабрика	247
32669	Калины сироп сироп фл.темн.стекл. 100 мл кор. 1 ВИФИТЕХ	243
33036	Кальций-Д_3 Никомед форте табл.жев. с лимон. фл. 60 Nycomed Pharma	198
33037	Кальций-Д_3 Никомед форте табл.жев. с лимон. фл. 30 Nycomed Pharma	198
33038	Кальций-Д_3 Никомед форте табл.жев. с лимон. фл. 120 Nycomed Pharma	198
33050	Кальций-Сандоз форте табл.шип. 500 мг туба 20 кор. 1 Novartis Pharma	198
33068	Кальцинова табл. уп.контурн.яч. 9 кор. 3 KRKA	198
33338	Каметон аэроз. бал.аэроз. 45 г [с нас.наз.] пач.картон. 1 Ай Си Эн Октябрь	247
33339	Каметон аэроз. бал.аэроз.алюм. 30 г [с нас.наз.] пач.картон. 1 Алтайвитамины	247
33340	Каметон аэроз. бал.аэроз. 30 г [с доз.устр.] пач.картон. 1 Мосхимфармпрепараты	247
33342	Каметон аэроз. бал.аэроз. 30 г [с нас.наз.] пач.картон. 1 Мосхимфармпрепараты	247
33382	Камфора мазь 10 % туба 30 г Московская фармфабрика	247
33436	Камфорное масло для наружного применения р-р масл.наружн. 10 % фл.темн.стекл. 30 мл Краснодарская фа	247
33448	Камфорное масло для наружного применения р-р масл.наружн. 10 % фл.темн.стекл. 30 мл Ростовская фармф	247
33449	Камфорное масло для наружного применения р-р масл.наружн. 10 % фл.темн.стекл. 30 мл пач.картон. 1 Ро	247
33461	Камфорное масло для наружного применения р-р масл.наружн. 10 % фл.темн.стекл. 30 мл Фитофарм-НН	247
33513	Камфорный спирт 10% р-р спирт.наружн. 10 % фл.темн.стекл. 40 мл Тверская фармфабрика	247
33528	Камфорный спирт 10% р-р спирт.наружн. 10 % фл.темн.стекл. 40 мл Фитофарм-НН	247
33546	Камфорный спирт 2% р-р спирт.наружн. 2 % фл. 40 мл Ростовская фармфабрика	247
33552	Камфорный спирт 2% р-р спирт.наружн. 2 % фл. 40 мл Московская фармфабрика	247
33636	Кандид р-р наружн. 1 % фл. 15 мл Glenmark Pharmaceutical	250
33637	Кандид р-р спирт.наружн. 1 % фл. 20 мл пач.картон. 1 Glenmark Pharmaceutical	250
33638	Кандид крем 1 % туба 20 г пач.картон. 1 Glenmark Pharmaceutical	250
33640	Кандид Б крем 1 % туба алюм. 15 г пач.картон. 1 Glenmark Pharmaceutical	250
33641	Кандид Б крем 1 % туба алюм. 20 г пач.картон. 1 Glenmark Pharmaceutical	250
33647	Кандид-В6 табл.ваг. 100 мг уп.контурн.б/яч. 6 [с апплик.] кор. 1 Glenmark Pharmaceutical	250
33654	Канефрон H драже уп.контурн.яч. 20 пач.картон. 3 Bionorica	247
33656	Канефрон H р-р для приема внутрь фл.-кап. 100 мл пач.картон. 1 Bionorica	247
33661	Канизон крем 1 % туба 20 г Agio Pharmaceuticals	250
33662	Канизон табл.ваг. 100 мг уп.контурн.б/яч. 6 [с апплик.] кор. 1 Agio Pharmaceuticals	250
33704	Капли Береш Плюс капли для приема внутрь фл. 30 мл кор. 1 Beres	33
33710	Капозид табл. 50 мг+25 мг бл. 15 кор. 2 Bristol-Myers Squibb	236
34680	Каффетин табл. бл. 10 Alkaloid	211
34687	Квадевит табл.п.о. бан.полимерн. 30 пач.картон. 1 Ай Си Эн Октябрь	198
34728	Квасцы жженые пор. фл. 25 г Элефант-А	242
35319	Климаксан гомеопатический табл. уп.контурн.яч. 20 пач.картон. 1 Материа Медика Холдинг	64
35321	Климаксан гомеопатический гран. пак. 10 г Материа Медика	64
35330	Климактоплан табл. бл. 20 кор. 5 DHU	296
35334	Климен драже бл. 21 кор. 1 Schering SA дочернее предприятие Schering AG	178
35475	Мелисана Клостерфрау эликсир фл. 95 мл пач.картон. 1 M.C.M. KLOSTERFRAU	243
35479	Клотримазол крем 1 % туба 20 г пач.картон. 1 Sedate Health Care (P) Ltd	250
35484	Клотримазол крем 1 % туба алюм. 20 г пач.картон. 1 Shreya Life Sciences Pvt. Ltd.	250
35495	Клотримазол табл.ваг. 100 мг уп.контурн.яч. 6 кор. 1 Sicomed	250
35496	Клотримазол крем 1 % туба 20 г кор. 1 Hyperion	250
35499	Клотримазол-Акри мазь мазь 1 % туба 20 г пач.картон. 1 Акрихин	250
35600	Ко-ренитек табл. бл. 14 кор. 2 MSD	236
35602	Ко-ренитек табл. бл. 14 кор. 1 MSD	236
35694	Коделак табл. уп.контурн.яч. 10 Ай Си Эн Томскхимфарм	38
35821	Колдакт Флю Плюс капс.пролонг. бл. 10 пач.картон. 1 Ranbaxy	182
35825	Колдрекс табл. бл. 12 кор. 1 SmithKline Beecham Consumer Healthcare	38
35839	Колдрекс Найт сироп фл. 160 мл кор. 1 SmithKline Beecham Consumer Healthcare	182
36258	Компливит табл.п.о. бан.полимерн. 60 УфаВита	198
36259	Компливит табл.п.о. бан.полимерн. 60 пач.картон. 1 УфаВита	198
36360	Контрикал пор.лиоф.д/ин. 10000 ATpE амп. [с р-лем, амп.] пач.картон. 10 AWD.pharma	177
36456	Копривит капс. 0,25 г уп. 40 Diet Pharma	238
36498	Корвалдин капли для приема внутрь фл.-кап. 25 мл пач.картон. 1 Фармак	243
36506	Корвалол капли для приема внутрь фл.-кап.темн.стекл. 25 мл пач.картон. 1 Фармакон	243
36509	Корвалол капли для приема внутрь фл.-кап.темн.стекл. 25 мл пач.картон. 1 Татхимфармпрепараты	243
36512	Корвалол капли для приема внутрь фл.-кап.темн.стекл. 25 мл Ай Си Эн Лексредства	243
36513	Корвалол капли для приема внутрь фл.-кап.темн.стекл. 15 мл пач.картон. 1 Московская фармфабрика	243
36554	Корвалол капли для приема внутрь фл.-кап.темн.стекл. 25 мл пач.картон. 1 Сесана	243
36555	Корвалол капли для приема внутрь фл.-кап.темн.стекл. 25 мл Сесана	243
36765	Корнам табл. 5 мг бл. 10 кор. 2 Lek	238
36766	Корнам табл. 2 мг бл. 10 кор. 2 Lek	238
36768	Корнерегель гель глазн. 5 % туба 5 г кор. 1 Bausch & Lomb, manufactured by Dr.Mann Pharma	198
36933	Кофеина-бензоата натрия раствор для инъекций р-р д/ин. 20 % амп. 1 мл [с нож.амп.] кор. 10 Дальхимфа	41
36939	Кофеина-бензоата натрия раствор для инъекций р-р д/ин. 20 % амп. 1 мл [с нож.амп.] кор. 10 Ай Си Эн	41
36946	Кофеина-бензоата натрия таблетки табл. 0,1 г уп.контурн.б/яч. 10 Ай Си Эн Томскхимфарм	41
36948	Кофеина-бензоата натрия таблетки табл. 0,1 г уп.контурн.яч. 6 Татхимфармпрепараты	41
37083	Крапивы листья листья фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	198
37086	Крапивы листья листья фильтр-пак. 1,5 г пач.картон. 10 Красногорсклексредства	198
37282	Красавки экстракт супп. 15 мг уп.контурн.яч. 5 пач.картон. 2 Дальхимфарм	243
37284	Красавки экстракт супп.рект. 15 мг уп.контурн. 5 пач.картон. 2 Биосинтез	243
37835	Кристепин драже уп.контурн.яч. 15 пач.картон. 2 Leciva	243
38053	Ксантинола никотината раствор для инъекций 15% р-р д/ин. 15 % амп. 2 мл [с нож.амп.] кор. 10 Мосхимф	171
38077	Ксантинола никотината таблетки 0,15 г табл. 0,15 г уп.контурн.б/яч. 10 Ай Си Эн Томскхимфарм	171
38079	Ксантинола никотината таблетки 0,15 г табл. 0,15 г уп.контурн.б/яч. 10 Ирбитский химфармзавод	171
38155	Ксидифон (для приготовления 2% раствора) конц.д/р-ра для приема внутрь 20 % фл. 50 мл пач.картон. 1	206
38162	Ксилен капли наз. 0,05 % фл. 10 мл [с крышк.-капельн.] кор. 1 ЛЭНС-Фарм	234
38164	Ксилен капли наз. 0,1 % фл. 10 мл [с крышк.-капельн.] кор. 1 ЛЭНС-Фарм	234
38222	Ксимелин капли наз. 1 мг/мл фл.-кап. 10 мл кор. 1 Nycomed Danmark A/S	234
38223	Ксимелин капли наз. 0,5 мг/мл фл.-кап. 10 мл кор. 1 Nycomed Danmark A/S	234
38224	Ксимелин спрей наз. 0,5 мг/мл фл. 15 мл [с доз.] Nycomed Danmark A/S	234
38225	Ксимелин спрей наз. 1 мг/мл фл. 15 мл [с доз.] Nycomed Danmark A/S	234
38247	Кудесан р-р для приема внутрь фл.-кап. 20 мл кор. 1 Аква-МДТ	198
38315	Кукурузы столбики с рыльцами столбики с рыльцами пак.бум. 50 г пач.картон. 1 Иван-Чай	236
38317	Кукурузы столбики с рыльцами столбики с рыльцами пак.бум. 40 г пач.картон. 1 Красногорсклексредства	236
38331	Кукурузы столбики с рыльцами столбики с рыльцами пак.бум. 35 г пач.картон. 1 Фитофарм ПКФ	236
38423	Курантил 25 драже 25 мг фл.стекл. 100 кор. 1 Berlin-Chemie	171
38427	Курантил N 75 табл.п.о. 75 мг бл. 20 кор. 2 Berlin-Chemie	171
38452	Куриозин р-р наружн. 20,5 мг фл.-кап. 10 мл кор. 1 Gedeon Richter	247
38453	Куриозин гель наружн. 15,4 мг туба 15 г кор. 1 Gedeon Richter	247
38857	Ламинарии слоевища (Морская капуста) пор. пак.бум. 150 г пач.картон. 1 Красногорсклексредства	67
39485	Левосин мазь туба 40 г пач.картон. 1 Нижфарм	242
39486	Левосин мазь бан.темн.стекл. 50 г пач.картон. 1 Нижфарм	242
39850	Лив.52 табл. фл. 100 кор. 1 Himalaya	222
39851	Лив.52 капли для приема внутрь фл. 60 мл [с пипет.] кор. Himalaya	222
40209	Лимонтар табл.д/р-ра для приема внутрь уп.контурн.яч. 30 пач.картон. 1 Биотики МНПК	48
40345	Линимент бальзамический (по Вишневскому) линим. туба 30 г пач.картон. 1 Алтайвитамины	247
40358	Линимент бальзамический (по Вишневскому) линим. бан. 25 г Ярославская фармфабрика	247
40377	Линимент бальзамический (по Вишневскому) линим. бан.темн.стекл. 40 г Фитофарм-НН	247
40418	Линкас сироп фл.темн.стекл. 90 мл пач.картон. 1 Herbion Pakistan	39
40530	Липоевая кислота табл.п.о. 0,012 г бан.темн.стекл. 50 кор. 1 ICN Марбиофарм	222
40531	Липоевая кислота табл.п.о. 0,025 г уп.контурн.яч. 10 кор. 5 ICN Марбиофарм	222
40596	Липы цветки цветки пак.бум. 35 г пач.картон. 1 Красногорсклексредства	243
40613	Липы цветки цветки фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	243
40978	Лопуха корни корни пак.бум. 50 г пач.картон. 1 Техмедсервис	242
41527	Магне B_6 табл.п.о. бл. 10 кор. 5 Sanofi-Winthrop Industrie	198
41528	Магне B_6 р-р для приема внутрь амп.темн.стекл. 10 мл кор. 10 Sanofi-Winthrop Industrie	198
41582	Магния сульфат р-р д/ин. 25 % амп. 10 мл [с нож.амп.] пач.картон. 10 Верофарм (Воронежский филиал)	243
41584	Магния сульфат пор. для приема внутрь бан. 20 г Московская фармфабрика	243
41608	Магния сульфат р-р д/ин. 25 % амп. 10 мл [с нож.амп.] пач.картон. 10 Мосхимфармпрепараты	243
41609	Магния сульфат р-р д/ин. 25 % амп. 5 мл [с нож.амп.] пач.картон. 10 Биосинтез	243
41610	Магния сульфат р-р д/ин. 25 % амп. 10 мл [с нож.амп.] пач.картон. 10 Биосинтез	243
41614	Магния сульфат р-р д/ин. 25 % амп. 10 мл [с нож.амп.] пач.картон. 10 Дальхимфарм	243
41616	Магния сульфат-Дарница р-р д/ин. 25 % амп. 5 мл [с нож.амп.] кор. 10 Дарница	243
41626	Магния сульфата раствор для инъекций р-р д/ин. 25 % амп. 5 мл [с нож.амп.] пач.картон. 10 Иммунопреп	243
41630	Магния сульфата раствор для инъекций р-р д/ин. 25 % амп. 5 мл пач.картон. 10 Ай Си Эн Октябрь	243
41796	Максамин форте табл.п.о. уп. 10 Anglo-French Drugs & Industries	198
41800	Максиган табл. бл. 10 Unichem Laboratories	243
41808	Макситрол капли глазн. фл. 5 мл [с доз.устр.] пач.картон. 1 Alcon-Couvreur	293
42504	Мастодинон капли для приема внутрь фл.с дозат. 50 мл пач.картон. 1 Bionorica	66
42505	Мастодинон капли для приема внутрь фл.с дозат. 100 мл пач.картон. 1 Bionorica	66
43542	Мексидола раствор для инъекций 5% р-р д/ин. 5 % амп.в уп.контурн.яч. 2 мл 5 пач.картон. 2 Эллара МЦ	196
43545	Мексидола таблетки, покрытые оболочкой, 0,125 г табл.п.о. 0,125 г уп. 30 Мир-Фарм	196
43647	Мемоплант табл.п.о. 40 мг бл. 10 кор. 3 Dr. Willmar Schwabe	171
43696	Меновазин р-р спирт.наружн. фл.темн.стекл. 40 мл Фитофарм-НН	50
43699	Меновазин р-р спирт.наружн. фл.темн.стекл. 40 мл Тульская фармфабрика	50
43700	Меновазин р-р спирт.наружн. фл.темн.стекл. 40 мл Ярославская фармфабрика	50
43711	Меновазин р-р спирт.наружн. фл.темн.стекл. 40 мл Московская фармфабрика	50
43723	Меновазин р-р спирт.наружн. фл.темн.стекл. 40 мл Тверская фармфабрика	50
44101	Метилурацила таблетки 0,5 г табл. 0,5 г уп.контурн.б/яч. 10 Борисовский ЗМП	176
44107	Метилурацила таблетки 0,5 г табл. 0,5 г уп.контурн.яч. 10 пач.картон. 5 НЗМП	176
44160	Метионин табл.п.о. 0,25 г уп.контурн.яч. 10 кор. 5 Ай Си Эн Октябрь	197
44291	Метрогил Дента гель д/десен 10 мг/г туба 20 г кор. 1 Unique	247
44458	Мигренол ПМ табл. бл. 8 Four Ventures	182
45079	Можжевельника плоды плоды пач.картон. 100 г Красногорсклексредства	236
45080	Можжевельника плоды плоды пач.картон. 50 г Красногорсклексредства	236
45450	Морской кальций биобаланс кальций-йод табл. 0,6 г бан.полимерн. 100 Экомир	108
45452	Морской кальций биобаланс кальций-магний-цинк-селен табл. 0,6 г бан.полимерн. 100 Экомир	108
45803	Мульти-табс Классик табл.п.о. бан.пластик. 100 кор. 1 Ferrosan	198
45804	Мульти-табс Классик табл.п.о. бан.пластик. 30 кор. 1 Ferrosan	198
45806	Мульти-табс Макси табл.п.о. бан.пластик. 90 кор. 1 Ferrosan	198
45807	Мульти-табс Макси табл.п.о. бан.пластик. 30 кор. 1 Ferrosan	198
45810	Мульти-табс Малыш табл.жев. бл. 15 кор. 2 Ferrosan	198
45816	Мульти-табс Юниор табл.жев. с малин.-клубн. бл. 15 кор. 2 Ferrosan	198
45819	Мульти-табс Юниор табл.жев. со смешан. фрукт. бл. 15 кор. 2 Ferrosan	198
45876	Мультипродукт для детей табл.шип. пен. 10 Natur Product	198
45878	Мультипродукт для женщин табл.шип. пен. 10 Natur Product	198
45882	Мультипродукт для мужчин табл.шип. пен. 10 Natur Product	198
45910	Мумие алтайское очищенное табл. 0,2 г уп.контурн.б/яч. 10 пач.картон. 2 Эвалар	48
45911	Мумие алтайское очищенное табл. 0,2 г уп.контурн.б/яч. 10 Эвалар	48
46196	Мятные таблетки табл. уп.контурн.б/яч. 10 Московская фармфабрика	243
46207	Мяты перечной лист в порошке пор. фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	243
46272	Мяты перечной листья листья фильтр-пак. 1,5 г пач.картон. 10 Красногорсклексредства	243
46274	Мяты перечной листья листья пак.бум. 50 г пач.картон. 1 Техмедсервис	243
46277	Мяты перечной листья листья пак.бум. 50 г пач.картон. 1 Здоровье фирма	243
46293	Мяты перечной листья листья фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	243
46311	Мяты перечной настойка настойка фл. 25 мл Фитофарм-НН	243
46322	Мяты перечной настойка настойка фл. 25 мл Тульская фармфабрика	243
46325	Мяты перечной настойка настойка фл. 25 мл Тверская фармфабрика	243
46332	Мяты перечной настойка настойка фл. 25 мл пач.картон. 1 Московская фармфабрика	243
46335	Мяты перечной настойка настойка фл. 25 мл Ярославская фармфабрика	243
47021	Назальный аэрозоль доктора Тайсса аэроз.наз. 0,1 % фл.ПЭ 10 мл [с устр.-спрей] кор. 1 Dr. Theiss Nat	234
47027	Називин капли наз. 0,025 % фл.темн.стекл. 10 мл [с доз.пипеткой] пач.картон. 1 Merck KGaA (Германия)	234
47028	Називин капли наз. 0,05 % фл.темн.стекл. 10 мл [с доз.пипеткой] пач.картон. 1 Merck KGaA (Германия)	234
47029	Називин капли наз. 0,01 % фл.темн.стекл. 5 мл [с доз.пипеткой] пач.картон. 1 Merck KGaA (Германия) f	234
47030	Називин спрей наз. 0,05 % фл.ПЭ 10 мл [с ингал.] пач.картон. 1 Merck KGaA (Германия) for Nycomed	234
47035	Назол спрей наз. 0,05 % фл.с расп. 30 мл пач.картон. 1 Sagmel, Inc.	234
47799	Натрия хлорид р-р д/инф. 0,9 % фл.д/кровезам. 200 мл Восток	117
47804	Натрия хлорид р-р д/инф. 0,9 % фл.ПЭ 500 мл кор. 20 Ahlcon Parenterales	117
47806	Натрия хлорид р-р д/инф. 0,9 % конт.п/пропилен. 500 мл [с 2 портами] Рестер ЗАО	117
47809	Натрия хлорид р-р д/инф. 0,9 % конт.п/пропилен. 1000 мл [с 1 портом] Рестер ЗАО	117
47810	Натрия хлорид р-р д/инф. 0,9 % конт.п/пропилен. 250 мл [с 1 портом] Рестер ЗАО	117
47814	Натрия хлорид р-р д/инф. 0,9 % конт.п/пропилен. 250 мл [с 2 портами] Рестер ЗАО	117
47821	Натрия хлорид р-р д/инф. 0,9 % конт.п/пропилен. 500 мл [с 1 портом] Рестер ЗАО	117
47857	Натрия хлорида изотонический раствор для инъекций 0,9% р-р д/ин.изотон. 0,9 % амп. 10 мл [с нож.амп.	117
47863	Натрия хлорида изотонический раствор для инъекций 0,9% р-р д/ин.изотон. 0,9 % амп. 10 мл [с нож.амп.	117
47871	Натрия хлорида изотонический раствор для инъекций 0,9% р-р д/ин.изотон. 0,9 % амп. 5 мл [с нож.амп.]	117
47877	Натрия хлорида изотонический раствор для инъекций 0,9% р-р д/ин.изотон. 0,9 % фл.д/кровезам. 200 мл	117
47878	Натрия хлорида изотонический раствор для инъекций 0,9% р-р д/ин.изотон. 0,9 % фл.д/кровезам. 200 мл	117
47880	Натрия хлорида изотонический раствор для инъекций 0,9% р-р д/ин.изотон. 0,9 % амп. 5 мл [с нож.амп.]	117
47925	Натрия хлорида изотонический раствор для инъекций 0,9% р-р д/ин.изотон. 0,9 % амп. 5 мл [с нож.амп.]	117
48238	Нафтизина раствор капли наз. 0,1 % фл. 10 мл [с крышк.-капельн.] пач.картон. 1 Славянская аптека ООО	234
48248	Нафтизина раствор капли наз. 0,05 % фл. 10 мл [с крышк.-капельн.] пач.картон. 1 Славянская аптека ОО	234
48262	Нафтизина раствор капли наз. 0,05 % фл. 10 мл Лекко - фармацевтическая фирма	234
48586	Нео-Пенотран супп.ваг. уп.контурн.б/яч. 7 [с напальч.] пач.картон. 2 Schering SA дочернее предприяти	250
48782	Нигепан супп.рект. уп.контурн.яч. 5 пач.картон. 2 Нижфарм	172
48926	Никотиновая кислота р-р д/ин. 1 % амп. 1 мл [с нож.амп.] кор. 10 Верофарм (Белгородский филиал)	198
48962	Никотиновой кислоты таблетки 0,05 г табл. 0,05 г бан.темн.стекл. 50 пач.картон. 1 Дальхимфарм	198
48975	Никотиновой кислоты таблетки 0,05 г табл. 0,05 г уп.контурн.яч. 10 пач.картон. 5 Ирбитский химфармза	198
48980	Никошпан табл. конт. 50 кор. 1 Chinoin	243
49678	Новиган табл.п.о. уп.контурн.яч. 10 пач.картон. 2 Dr. Reddy's Laboratories	243
50078	Ноготков цветки цветки фильтр-пак. 1,5 г пач.картон. 10 Красногорсклексредства	247
50080	Ноготков цветки цветки фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	247
